Tweets,Tweet Classification
 11 17am flash update recovery of the fallen truck at obadeyi inw abule egba is still on going at obadeyi also transloading is on as well recovery imminent patience advised ,0
 11 06am there s a lady titilayo she s about 5 or 6months pregnant now she stays with her mum in ibafo ogun state her contact is 08063932322,1
 11 09am traffic on the 3rdmb is caused by a terrible accident at ilubirin toward sura bridge but traffic officials on ground working hard 11 08am,1
 11 10am traffic on the 3rdmb is caused by a terrible accident at ilubirin toward sura bridge but traffic officials on ground working hard 11 08am,1
 11 11am traffic on the 3rdmb is caused by a terrible accident at ilubirin toward sura bridge but traffic officials on ground working hard 11 08am,1
 11 13am please visit ayinke house in lasuth ikeja lagos there are so many women there who need help ,1
 11 14am flash update an accident at ilubinrin just by lawma inw simpson involving two cars for now no casualty but traffic backlogging towards third mainland bridge while effort is on for its evacuation ,1
 10 30am we offer repair services on all electronics appliance dm call whatsapp 08035886385,1
 10 38am the bad portion of lagos abeokuta ajala obadeyi express road is causing untold hardship on motorist trailer carrying scrap metals falls on daily basis the picture attached is the situation as at this morning ,0
 10 40am vehicular movement from iyanaworo inward adekunle is good to go while movement from adekunle inward adeniji adele lagos is slow moving traffic movement from adeniji adele inward iyanaworo via olopomeji car wash is good to go ,1
 10 15am abeg how is gbagada movement this morning,0
 10 17am now following dm,0
 10 08am heavy traffic from along akaka towards cms,0
 9 45am alright take care,0
 9 47am please include the st finbarrs college road from pako to unilag gate ,0
 9 48am yep done,0
 9 49am ,1
 9 51am lately last year about 3 trucks fell off the road at that spot and here we are this new year again 2 has fallen so far,0
 9 54am 4m asking,0
 9 31am very unnecessary government we can just as well govern ourselves ,0
 9 38am afraid ,0
 9 42am probably the owner repairs gen so what you re seeing here might just be an inbuilt gen designed somewhere in ibadan and customized solely for the owner ,0
 9 16am you re taking this personal no one mentioned your name also speaking in such a way to people is beneath your office decorum,0
 9 19am u can throw away decorum but u want to decorum others ,0
 9 20am hah ,1
 9 20am drivers needed around ajah axis,0
 9 22am there were a number of handles mentioned in my tweet i could go on a long response but let me quote hamlet my dear sir the man doth protest too much methinks ,0
 9 23am i m very calm awesomely calm infact ,1
 9 25am 3rd mainland bridge is free all the way from iyana oworo down to obalende,0
 9 29am i need a graphic designer for employment in a church in lekki please dm me for further info if you re interested thank you pls rt,0
 9 14am get your toll devices to enjoy faster journey time at the lekki ikoyi link bridge ,0
 8 47am for sale 4 163 sqm along lekki epe expressway by chevron tollgate title gov consent price ngn 750 million call 07012345434 08064172412,0
 8 32am can you dm your price ,0
 8 19am ,1
 8 21am traffic diversion on lagos ibadan express kara section starts on tuesday ,0
 8 25am just out now a roomself contain at sosanya street sholuyi gbagada 200k a year rent only total package is,0
 8 25am chai madt oooh generator wey dey collect blood wetin ola no go see for oshodi,0
 8 00am guinness r abt is busy inw akanni doherty jnctn dwn to 2nd gate busy in and out akanni doherty onw mvmnt to adeniyi jones inw kodesoh is gd but busy inw ikj ubridge as well as ascendn and descendn ikj bridge,1
 8 00am onw mvmnt to genhsptl ubridge is also on the high side rj from genhsptl ubridge inw cash and carry is gd it s busy inw ascendn ikj bridge and ubridge alt ongoing underneath ikj bridge ikj ubridge in and out allen r abt is gd,1
 8 00am ikj ubridge inw kodesoh dwn to adeniyi jones intsctn is gd at the jnctn onw mvmnt to guinness r abt is gd connecting pero otubu and shiaba is gd slw at shiaba inw moshalashi alhaja mvmnt back to pen cinema is gd,0
 8 03am sir what is the plan for oyingbo and yaba bus terminal another white elephant project it is over 200 days of your admin mr governor ,0
 8 04am guinness r abt is busy inw akanni doherty jnctn dwn to 2nd gate busy in and out akanni doherty onw mvmnt to adeniyi jones inw kodesoh is gd but busy inw ikj ubridge as well as ascendn and descendn ikj bridge via,1
 8 08am as lovely as your solution is it does not completely solve the traffic problem as it solves only the traffic flow at the roundabout but does not ease traffic inbound ikoyi into lekki ,1
 7 52am it happens regularly at iyana ipaja okada amp marwa is even worse yet and task force can run after private owners ,0
 7 53am pls help stop any attempt to create a bus stop at adeniji inward 3mb it s becoming reality ,0
 7 57am who else remembers the fela statue at allen roundabout well it is no more it has been swept away by the broom of change well done well done ,1
 7 30am constructn works ongoing from anthony oke dwn to lastma office tho traffic is still gd at this time it s gd inw oshodi rj from oshodi back to gbagada olopomeji is g2g via,0
 7 36am officials around that end will just take their eyes away please help pass to the appropriate desk since lastma officials at that fadeyi end will just ignore like its norm,1
 7 36am via it gets busy approachn iyana oworo inw ilaje unilag wf makoko adekunle and adeniji high influx it s slw inw ilubirin and dolphin bt busy inw osborne,0
 7 36am 07 26am gbagada oworonshoki expway mvmnt from olopomeji inw olojojo gbagada 1st pedro 2nd pedro west end dwn to hotel new castle is busy constructn works ongoing gd inw anthony oke via,0
 7 36am 07 36am apapa oshodi expway mvmnt from oshodi inw charity is gd tho constructn works ongoing connecting toyota 5star iyana isolo ilasa iyana itire ballet cele express cele ijesha sanya is all gd,0
 7 36am sanya inw coker 1st rainbow 2nd rainbow alaba exp jakande is gd bt busy inw mile2 rj from mile 2 dwn to 2nd rainbow is gd bstop activities at 2nd rainbow onw mvmnt to sanya ijesha dwn to ballet quite slw at ballet ,1
 7 36am it gets busy ilasa and iyana isolo it s gd inw 5star toyota charity dwn to oshodi,1
 7 37am 07 37am maryland anthony in out maryland is gtg odo iyalaro in out maryland maryland inw gh is a jolly ride gh inw local airport is gd rj inw gh is a moving traffic ,0
 7 37am gh inw kodesho to oba akran is gd rj back to gh is busy but moving traffic alternation gh in out oba akinjobi is gtg gh inw sheraton is also gtg,1
 7 37am sheraton in nitel is a moving traffic alternation nitel inw kingsway is gd leventis u turn inw cantonment is slow cantonment inw maryland is gtg ,1
 7 43am busy traffic currently from bolade inward oshodi under bridge,1
 7 44am moving traffic currently from after cms to officer s mess,0
 7 44am 07 43am apakun inw airport to nahco is gd rj from nahco inw ajao 7 amp 8 to oshodi is gd 7 amp 8 thru osolo way is gd towards afariogun intersection is a bit slow aswani inw aye is gd,1
 7 17am it gets busy approachn iyana oworo inw ilaje unilag wf makoko adekunle and adeniji high influx it s slw inw ilubirin and dolphin bt busy inw osborne,0
 7 17am connecting alfred rewane is gd it s busy from glover rd jnctn on alfred rewane inw falomo r abt dwn to law sch the rest of akin adesola is gd at this time ,11
 7 20am heavy traffic from chevron to lekki what is happening on this island sef ,1
 7 22am there was a minor accident at jibowu ikorodu road heading towards yaba this morning ,1
 7 23am if this were to be nigeria airport ,1
 7 26am 07 26am gbagada oworonshoki expway mvmnt from olopomeji inw olojojo gbagada 1st pedro 2nd pedro west end dwn to hotel new castle is busy constructn works ongoing gd inw anthony oke,0
 7 26am constructn works ongoing from anthony oke dwn to lastma office tho traffic is still gd at this time it s gd inw oshodi rj from oshodi back to gbagada olopomeji is g2g,0
 7 01am toyota inward airport road currently good to go,0
 6 45am currently heavy tight bumper2bumper currently iyana itire inward hassan bustop along apapa oshodi express way,1
 6 46am 3rd mainland on a codeine movement ,0
 6 46am ajah park inward uba roundabout oando currently appreciatable movement,1
 6 47am good morning and a pleasant new week ahead refuse to be shrouded with darkness adopt positive vibes and do great things ,1
 6 49am bode thomas enroute stadium currently good to go except for slight traffic at major alternations,1
 6 55am maryland inward sheraton currently good to go,1
 6 55am busy traffic currently approaching iyana isolo inward 5 star along apapa oshodi express way,1
 6 56am daleko bridge inward iyana isolo currently free,1
 6 32am slight traffic approaching ago roundabout enroute isolo cele express,1
 6 35am today is the real monday bad traffic from eleganza 2nd toll gate ,1
 6 40am has anyone tried getting the lekki toll e tag via their mobile app i m currently on this and i want to know if it would work or i m wasting my time cc,1
 6 16am busy traffic currently from mazamaza link bridge inward mile 2 via the centre lane,1
 6 17am ikeja,1
 6 17am berger inward china town currently good to go,1
 6 20am onipanu to jibowo currently free,1
 6 21am 3 months used 013 fullest option accord 4 sale pls rt my buyer cud b on ur tl,0
 6 24am free movement from barracks to mazamaza along badagry express way,1
 6 26am fatgbems filling station inward mile 2 along apapa oshodi express way currently good to go,1
 6 29am some of you don t even understand sacarsm on this street tweh ,1
 6 29am mile 2 to orile along badagry express way currently good to go,1
 5 43am traffic reports brace up for it traffic is busy from ile zik along abeokuta express way via ikeja along inwards inside going osodi ,0
 5 03am how much from ui ,0
 5 05am where s the delivery location ,1
 4 42am next time,1
 11 18pm the traffic build up inward ojota every morning is unnecessary it s just happening because of lack of innovation from the lastma guys that claim to control traffic there please give lastma a clear kpi on traffic flow,0
 10 32pm i hope one day this kind of project will be seen on lekki epe express road ,1
 10 05pm brother u see that lekki own ehn its those danfo they never use the bus stops created for them they always make use of the road thats why we have traffic at each traffic light stops,0
some reasons why you should adopt for your outdoor marketing in 2020 attention grabbing wide audience reach non aggressive cost effective local mobile targeting give it a try call 08022498983,0
new year new opportunities 2020 is the year you become a landlord if you believe shout a big amen has got some amazing opportunities that can help you achieve this check them out here,0
 9 19pm they sometimes set the time to catch unsuspecting motorist expecially under ajah bridge investigate to understand what is happening ,0
 8 35pm dxb airport in dubai flooded flights cancelled cc video by ,0
 8 39pm kindly let me know if lagos bus services limited runs ikeja to obalende or cms thanks,0
 7 45pm it will be nice if u engage us pls has any pole fallen or they have stollen cables from the transformer or is it a maintenance work u are having in lekki phase 1 no light o,0
 7 30pm i pray they fix it before someone decides to jump down right through it s easier than using 3mb for people who have suicidal tendencies eko oni basie,0
 7 42pm how s ikeja to maryland traffic condition,1
 7 03pm 15h30 heavy traffic from redemption camp towards ibafo on lagos ibadan expressway,0
 7 13pm that s the one we call long bridge the smaller one after that the one closest to berger is kara bridge ,1
 7 13pm can you answer this simple one please why are there no lane markings on the lekki epe expressway ,1
 6 51pm it s becoming a problem here in ibadan to an extent you ll think you ve signed death warrant,0
 6 04pm you can buy either the prepaid cards or vouchers at our customer service centres at any of our toll plazas or from our roving toll collectors in the lanes on the lekki ikoyi link bridge toll plaza ,1
 5 54pm can we start regulating okadas and its riders they ve become a menace especially at yaba just too many with no regulation ,1
 5 37pm it wont stop or reduce the congestion let think of the all the roundabouts along lekki that was remove did not solve the congestion problem ,1
 5 22pm 5 06pm cms inw apongbon to ekobridge is very good ekobridge inw costain r a is ok but slow at the r a due to traffic alternation ,1
 5 22pm costain inw iponri to alaka service lane is very good ekobridge inw alaka main carriageway is good alaka inw stadium barracks ojuelegba to dormanlong bridge is very gtg ,1
 5 22pm dormanlong inw fadeyi down to ojotainterchange is very good interchange inw tollgate is good interchange inw tipper to demurin is ok demurin inw kosofe mile12 down to thomas is good ,0
 5 26pm only in ibadan you will see dis ,1
 4 47pm 4 45pm movement around ikoyi is very good awoloword in out is good movement along bourdillon alexander gerrard is very good ,1
 4 49pm if you re heading into lagos via berger please turn back to where you came from or connect the dusty off road path just before kara bridge once you climb the bridge you ll be spending almost 2 hours on a 11km stretch goodluck,1
 4 02pm ikorodu ishagamu road is very horrible something positive must happen on that road,0
 4 08pm anyone has a car to do a quick ride from lagos to ibadan earlier morning tomorrow just 2 people going contact me if interested reasonable prices please thanks ,0
 3 53pm good evening guys any logistic coy out here i have a small parcel to be picked up in surulere and deliver in badagry tomorrow or tuesday can i get any please reach out to me on 07054827073 whatsapp thanks fam,0
 3 25pm until i did not see okada again on ikorodu axis especially against traffic from ketu to ojota and vice versa i will know is serious the funny thing is that guys aid these guys everytime ,0
 3 25pm so police have decided to contribute to the traffic along ibadan expressway they are aiding and abating vehicles taking one way ,1
 3 26pm roundabout they block one lane of the road as parking spaces guys are also there ,1
 2 22pm new allen junction to be ready in 6months this would reduce daily congestion on awolowo way aromire shoprite and agidingbi roads god bless lagos government ,0
 2 25pm any corper working class living around mushin papa ajao oshodi mile 2 ikotun or isolo axis that needs a roommate or can accommodate a dude for short period for a pay should pls dm it s urgent pls rt,0
are you considering facility maintenance offers a comprehensive range of option for planned or reactive maintenance to suit your needs save their whatsapp number and give them a call 08098056510 ,0
 your love by thobbie via listen enjoy make sure you re following on fb ig ,0
tired of the same old marketing strategies looking for something new and fresh this is a new decade time to try something different try with and reach your target audience call 08022498983 ,0
 1 18pm our vehicle got their by 9pm and got to ojota by 1am ,0
why don t you invest for your child as they grow olderthe price of your land will also appreciate see flyer for great investment opportunities from visit their site,0
 12 54pm also watch out for lazy drivers who choose to take short cuts by facing oncoming traffic ,0
 12 37pm if you are going to lagos from ibadan be ready for the traffic from just after redemption camp till you get to long bridge cc,1
 12 00pm facts you should know about the new western security scheme operation amotekun list mourinho rashford zlatan ibrahimovic shaggy liverpool,0
 12 13pm your excellency mr kindly order the fixing of the damaged rails falomo bridge,1
 10 14am that means from mile 2 to surulere is close as well,0
 9 31am dear let us just thank god today isn t monday on ikorodu road one rickety banna carrying van lost tyre and traffic went as far as adekunle from mile 12 another fallen truck with granite around albaty barracks allahu akbar ,1
 9 01am traffic advisory from due to the fallen truck inw ojuelegba welldone guys ,1
 9 03am on abati inw ojuelegba monster is back on its wheels welldone to and a synergy that works ,1
 9 05am very close like ojuelegba to surulere,0
 8 25am how is this even possible anyways if you can avoid funsho williams road inward ojuelegba please take alternative route ,1
 8 05am fresh trailer accident ojuelegba inwards barracks stadium use alternative route until lasema comes to sort it out ,1
 7 48am serious traffic along begged road inwards tollgate alausa secretariat from berger a bus had an accident pls rt,0
 7 36am please how close is mile 2 to the island,1
 7 15am 7 08am sabo r a inw munirataleje jxn to ikorodu r a is ok ikorodu r a to the brt terminal is slow steady to benson benson down to mile12 is very gtg ,1
 7 15am mile12 ubridge inw ajelogo through alapere to link the expressway is good mile12 inw kosofe to iyanaschool is ok iyanaschool to ikosird jxn is busy steady movement inw fruitmkt ,1
 7 24am interchange motorways inw ojota is good ojota down to fadeyi is very gtg fadeyi inw jibowu is good fadeyi inw dormanlong is good ,1
 7 24am after descending dormanlong is slow inw ojuelegba due to a fallen tipper loaded with sand opposite abalti barracks effort is already being made for evacuation though a lane is still available for movement ,1
 7 24am ojuelegba inw ekobridge through apongbon to cms and mcwen bridge is very gtg rj from cms all the way back to ikorodu is very good ,1
 6 33am 6 30am kara berger inw carwash iyanaoworo through the sretch of 3mb to ilubirin connecting osbornerd and obalende is very gtg in out ,0
 6 33am movement through ozumbambadiwe from bonnycamp to the tollplaza connecting lekki r a is very gtg in out all other areas around vi are also very good for now please ,1
 6 18am anthony joshua doing a half split ,0
 5 31am i always imagine what the cumulative collective intelligence of the entire lagos state cabinet would be in figures well whatever the figure is the sight as you descend obalende is an insult to that collective intelligence,1
 12 58am brace yourself traffic inbound lagos location berger kara bridge time 12 55a m date saturday 12th december 2020 ,0
are you a property owner or administrator offers quality effective fumigation and pest control service for homes offices large complexes hospitals commercial properties estates and more a trial will convince you call 08098056510 cc,0
cc,0
 your love by thobbie via listen share enjoy also follow on fb ig ,0
so you re tired of the same old marketing strategies and you re looking for something new and fresh try with it s cost effective and can reach a wider targeted audience call 08022498983 to learn more ,0
want to secure the future of your kids a great way is by investing in when they get older the price of your land would have appreciated contact 08077789898 for great investment opportunities ,0
 9 48pm bus stop that post danger at night in lagos abule egba traffic light berger bus stop ijora bus stop mile 2 oke bolade bus stop oshodi,0
 9 58pm accident on ikorodu road just before onipanu car flipped upside down help needed to get passenger out ,1
 9 32pm fun time a guy and a lady rock themselves live at an event that happened in m k o abiola stadium ogun state today ,0
 9 34pm please i beg you fix addo badore in ajah street light help us,0
 9 05pm seems the diversion has return from kara inward berger ,0
 8 56pm i have spent 3hrs on lagos ibadan express road and i haven t gotten to berger please what happened ,0
we can then have federal police that supercede state police don t have state jurisdiction can operate anywhere across the country these would be the best of the best maybe even selected from the top performers in the state police of different states across the country ,0
a police officer will feel much more invested and concerned about policing his own city state of origin because that s likely where his family lives his kids will grow up it s in his best interest to ensure the area is safe and secure ,0
i m an advocate of also i don t see the point in assigning a police officer who grew up in one state to serve in another if the police officer is already very familiar with his state and how things are done why sending him to unfamiliar territory ,1
 5 02pm the problem isn t from berger it s caused by the impatience of drivers and road users let s take responsibility for once ,0
 4 56pm any corper working class living around mushin papa ajao oshodi mile 2 ikotun or isolo axis that needs a roommate or can accommodate a dude for short period for a pay should pls dm it s urgent pls rt,0
 4 17pm imagine if we make all small cars and buses drop all their passengers at iyana oworo where the passengers will board all the mtbs already packed and waiting and these small ones are forbidden from being on the 3mb,0
 4 20pm she so endowed a lady in a topless outfit seen hawking along the streets of lekki movie or for real what do you think ,0
are you in need of any of the following services electrical mechanical cctv plumbing water hygiene small building works gardening ground maintenance resident facilities contracts call on 08098056510 cc,0
now listening top your love by via listen share and enjoy ,0
reasons why you should use your car for adverts with you earn up to 50k month it protects your car body free tracking device interested signup here more info 08022498983,0
one of the best ways to secure the future of your kidsis by investing in when they re older the price of your land would have appreciated contact 08077789898 for investment opportunities cc,0
 3 28pm please kindly hand a copy of lagos traffic law to officials at ojota bus stop inward maryland and kindly fix the road ,0
 2 20pm you need to do better with this etag registration i have been at the lekki toll plaza customer care for over an hour just to obtain a replacement etag card and top up my account ,0
 2 25pm shawarma boy needed urgently on a percentage agreement in ajah axis,0
 2 15pm we are currently in need of a driver for a full time job interested send a mail with your cv attached to uber com ,0
 1 32pm okay thanks that s kinda far from my end which is in ikoyi any idea of any around ojota ,0
 1 19pm go to idi mangoro along agege road ,0
 1 14pm can t u see that d a inside ojota has remove n you want them to have sense,0
i agree but danfo won t be so easily scrapped from lagos they provide a means of livelihood to a lot of people some of whom might resort to crime should the opportunity be taken away danfo is also a major source of income for nurtw they won t give it up without alternative ,0
 12 11pm any idea if eleganza area along lekki epe will be blocked today i learnt today is eleganza s daughter s birthday and they usually block the roads for this event what time is this likely to happen ,0
 what s happening in abule egba who allowed settlements near oil pipelines who approved the plan ,1
 emergency emergency there is a fire outbreak presently at pipeline ilepo abule egba closed to ago adura now live otta rd ile epo agege lagos ,1
 pipe line fire outbreak at pipe line bus stop ekoro road abule egba happening now,0
 all this alarmists you re not even in nigeria and you say the whole of abule egba is on fire please be more considerate when you tweet stuff like this everything is not for retweet sake ,0
 this is damn crazy fire fighters cannot even put out the fire abule egba,1
 pipeline explosion on ekoro road abule egba lord help us ,1
 god please save the people staying around abule egba ile epo ekoro pleasure ,0
 there is a pipeline burning currently in katangora axis via abule egba precisely pipeline junction katangora axis abule egba is currently on fire please call emergency numbers ,1
 the lagos state emergency numbers are 112 and 776 yes they pick and respond the time you spend tweeting about accidents like the abule egba pipeline fire is more than that for the emergency short codes please before asking us to rt first call them stay safe ,0
 december 26 2006 december 19 2018 january 19 2020 this is getting too much in abule egba pray for pipeline ,0
 when some gangs decide to burst pipeline at the detriment of an entire community so pained abule egba and disaster turning worst ,1
 please y all should keep calling the emergency line 112 concerning the fire outbreak at abule egba ,1
 there s a pipeline explosion along ekoro road abule egba if this comes to your tl please rt for the neccessary authorities to respond urgently please rt ,0
 this is fire outbreak presently happening at agbado okeodo abule egba lagos state more than 200 houses bournt down now and more still burning,1
 fire outbreak abule egba u turn area of ifako ijaye lagos on fire now please avoid this area for security and safety purposes ,1
 on fire for abule egba,1
 to think this fire has been raging for over 2 hours is really worrisome yet nothing has been done to stop this this is pipeline vandalism at ekoro near abule egba,1
 pipe line explosion at abule egba alimosho lagos state this exactly 8 52 pm 19th january 2020 ,0
 abule egba is on fire houses are getting burnt and there is slow response as firefighters just arrived fires have escalated in real time flames are visible from iyana ipaja which is a slightly distant landmark from the area please retweet,1
 abule egba pipeline explosion god save us seeing the fire from my house and i m so scared for people near ekoro road ,1
 please if you re going towards ile epo abule egba be careful please retweet this when you see this very urgent we are trying to contact the lagos fire service as well,1
 happening currently at abule egba pipeline junction towards ekoro junction,1
 the fire is getting more serious oh please retweet abule egba,1
 agbado oke odo pipeline abule egba gas pipeline leakage this suffocation is much we can t breathe pray for us,1
 update lagos suffers multiple pipeline fire at fagba ekoro road the lagos state emergency response agency has activated the state s emergency response plan to both incident sites ,1
 live fire burning around oke odo abule egba environment,1
 more from the burning scene as i tweet these no fire service right here and lifes and properties are being lost ,1
 breaking news there s a pipeline burning at ile epo along abule egba,1
 abule egba ile epo on fire let s help this guys call the attention of the fire service and other emergency agencies ,0
 serious pipeline fire outbreak abule egba linking oke odo,1
 pipeline explosion at pipeline bus stop ile epo alimosho local government lagos ,1
 cbnnews leaked phone call confirms turkey s erdogen funds boko haram supplies illicit weapons to them fulani herdsmen please watch ,0
 pipeline is burning here at agbado oke odo ile epo side,1
 pipeline junction katangora axis abule egba is currently on fire hope it s not activities of vandals ,1
 pipeline explosion at ilepo,1
 i find this picture s behaviour utterly repulsive and disgusting femi fani kayode reacts to photo of anthony joshua prostrating for president buhari swipe for more reactions by nigerians,1
 hit or trash s diane russet s daring look to an evert today ,0
 just in pipeline vandals cause fire outbreak in lagos pipeline vandals have caused a fire outbreak at the ile epo abule egba axis of lagos state the raging inferno has the residents of the area panicking and trooping out of their houses details later ,1
 breaking fire outbreak from pipeline ekoro side abule egba attention of fire fighters others related agencies are needed now,1
 president visits prince of wales prince charles in scotland at the sidelines of uk africa summit on 19th jan 2020 cc,0
 prophet chukwuemeka blows hot says this country is taking what belongs to igbo people,0
 uganda is one of the most dangerous places to be gay but that s not stopping this 88 year old bishop from fighting for lgbt rights ,0
 the enforcement campaign of the special committee on clean up of ikoyi and victoria island on saturday embarked on a late night operation impounded 29 indiscriminately parked vehicles on adetokunbo ademola street olosa street oko awo and oyin jolayemi streets ,0
 this is a wedding they are not broke they just have sense ,0
 operatives from the anti kidnapping unit lagos state police command have arrested a 26 year old ataghar namdoo for faking her own kidnap on the 9th of january and demanded for n10m naira as ransom in a video two videos were sent to the employer of the lady,0
 china has reported 17 new cases of a mysterious sars like virus,0
 a brazilian church uses tithes to build houses for the poor a church in brazil assemblies of god church at lagoinha in araruama has launched a project to build houses for its poor and homeless members using part of tithes offerings paid into church coffers,0
rt a kidnapped ezenwata luxury bus with full passengers makes little or no news since jan 14th nigeria where is your mother ,0
 video couple sighted flaunting balenciaga in,0
 world leaders will attend a summit in berlin today to discuss ways of resolving the libyan civil war,0
 at least 70 soldiers have been killed in a missile attack launched by houthi rebels in yemen,0
 ohimai a former ait presenter who fled nigeria last year has been granted asylum in the united states amaize 35 departed abuja in june 2019 following claims he was being trailed by nigerian security agents over his morning show kakaaki social ,0
 here to stay,0
 imo state people took to the streets today on a peaceful protest demanding the reversal of the supreme court judgement that brought chief hope uzodinma into power ,0
 some environmental offenders serving punishment after being found guilty by a mobile court for indiscriminate dumping of waste they were made to engage in compulsory community service cleaning a section around the admiralty toll gate on ozumba mbadiwe road v i,0
 who is the most intelligent character samwell tarly arya stark tywin lannister qyburn,0
 lawma to create hall of shame for environmental offenders lawma will soon begin a campaign tagged and to recognize efforts of individuals whose activities promote environmental cleanliness in the state amp those that does otherwise ,0
 very interesting maybe we can learn a few things from these satanists,0
 see anthony joshua postrating for president buhari ,0
 my fellow tricycle operators in lagos please skip tomorrow work to avoid been prosecuted tricycle business has elevate many people out of poverty ,1
 stop drinking garri to avoid lassa fever medical expert dr boniface okolo director of public health enugu state has advised nigerians against consuming soaked garri to avoid contacting lassa fever ,1
 prince harry and his los angeles born actress wife meghan markle on saturday night were granted their wish to step back from royal duties they agreed to give up their royal titles and public funding as part of a settlement with the queen spend time in canada ,0
 do you still want to go to canada or just enjoy sun in nigeria ,1
 video anthony joshua presents belts to buhari prostrates ,0
 photos nigerian born heavy weight champion anthony joshua post rates to show sign of respect from president mohammadu buhari ,0
 regina daniels ned nwoko hang out with american comedian steve harvey ,0
 is a graduate with a masters degree i pity all of his fans shouting don t graduate nigerian lady says on twitter,0
 viewers discretion is advised please whatever you do do not lust over money,0
 easy painting ideas ,0
 ex husband of peter and paul okoye s sister breaks his silence after she accused him of stealing and infecting her with stds during their marriage,0
 church girls going back home from a party ,1
 does not have sense nigerian lady blasts over her collection cc,0
 speed darlington toured nigeria man entered warri enugu etc no fight no quarrels he was having the time of his life and giving us updates but immediately he stopped at lagos gbas gbos occurred how do you humans up there survive that city ,0
 the prowess of the adventurous amotekun leopard in action you can t escape it even on the land and water ,0
 14h17 alfred rewane road ikoyi,0
 internet service in at least 12 african countries including nigeria slowed down since wednesday night after undersea connection cables were damaged the wacs sat3 wasc cable systems which connect many african countries to europe are wired through the atlantic ocean,0
 is this your total package ,0
 president buhari departs abuja for london ahead of the uk africa investment summit on 17th jan 2020 ,0
rt dear nysc management please kindly approve this type of skirt ,0
 photo american mom 46 in kano to marry 23 year old lover she met on instagram a 46 year old american woman jeanine delsky has arrived at panshekara a suburb of kano to marry her 23 year old online boyfriend sulaiman babayero isa ,0
 information okada and keke operators these signs mean no access for you o obey traffic rules 𝔾𝕀𝔻𝕀𝕋ℝ𝔸𝔽𝔽𝕀ℂ,0
𝐕𝐢𝐞𝐰𝐞𝐫 𝐬 𝐃𝐢𝐬𝐜𝐫𝐞𝐭𝐢𝐨𝐧 man swallowed by escalator in turkey as conveyor belt gives way miraculously he only suffered minor injuries ,1
rt why do some nigerians wear native to the beach instead of these type of attire ,0
 photo soldier fighting boko haram writes touching open letter to his wife at home,1
 the baby s reaction toward his mum,0
 president buhari arrives london ahead of the uk africa investment summit on 17th jan 2020,0
 he was sleeping around and stealing peter and paul okoye s sister mary says as she confirms the end of her marriage to actor emma emordi,1
 the baby s reaction toward his mum,0
 lasg installs 2 000 okada tricycle restriction signs on major highways bridges the lagos state government has commenced the installation of 2 000 prohibition signs across the metropolis restricting motorcycles tricycles from the highway ,0
 7 55am a truck loaded with plywood tilted and spilling some of the products on the road ascending the interchange towards tollgate one lane still moving while efforts being made for evacuation ,1
 f k mtn shatta bandle comes fur mtn and it s staffs says he wants to buy the company,0
 calling us shows you don t want electricity discos spokesperson oduntan tvc yourview,1
 saturday morning 8 35am serious fighting along ijesha road surulere ,0
 08 38am going out of lagos is looking really bad i don t what caused the traffic but it s getting worse by the minute at secretariat side of lagos ibadan expressway please find alternative route ,1
 2020 paris fashion week ,0
 guess the celeb ,1
 in poltergeist 1982 the skeletons used in the pool scene were actual skeletons as it was cheaper to use real ones rather than fakes,0
 some people don t just have the spirit of forgiveness how can you sweep your room and use your ex boyfriend picture as packer,0
 quavo got into an altercation after being denied entry into a paris fashion week event he struck one of the les twins as well after he actually tried to help get quavo in ,0
 alert rihanna is now single she has split up with hassan after about 3 years of dating ,1
 why would she do blac chyna like this ,0
 can you eat this ,0
 this arab guy calls the hotel reception to complain about a mouse in his room listen to how he describes the situation,0
 african star apple may damage fertility in men a must read ,0
 photo i nor get problem with throwing the baby up but did you see who threw her up ,0
rt i use curve 3 bold 3 bold 4 bold 5 bold 6 touch 1 touch 2 and zen 10 the zen 10 fell inside the beach water n spoiled i got another one again chai no b small thing o ,0
 service girls stop prostituting and come back home mr jellof sends message to warri ladies above 25 who leave in lagos and abuja cc,0
 lasg installs 2 000 okada tricycle restriction signs on major highways bridges the lagos state government has commenced the installation of 2 000 prohibition signs across the metropolis restricting motorcycles tricycles from the highway ,0
 these ones obviously have no worries in their lives can someone tell these people that nigeria has bigger issues to worry about how can you do drills in skirts nigeria and,0
 a danfo driver bashed a private car on third mainland bridge here s the car owner attempting to stop the bus driver in a slow moving traffic mad people everywhere,0
rt okada and danfo yellow buses are the worst users of lagos roads true or false sometimes you think okada don t have breaks until when you see them stop to drop passengers,0
 why is rate of kidnapping on the rise answer how many have been arrested how many have been prosecuted and how many are in jail that is part of the problem ,0
 morning devotion from davido poco lee peruzzi and others,0
rt there s a dilapidated pole behind a school at nia quarters lugbe abuja it needs urgent replacement please act fast for the sake of the school kids ,0
 present and past governor s imo state,0
 unmoving traffic from boundary to marine beach to ijora not sure what the cause is ɢɪᴅɪᴛʀᴀꜰꜰɪᴄ,0
rt interesting times ahead,0
 it s 2 20pm and if your passing through ore to or from lagos sorry you ll meet a bad traffic stretching kilometres it s standstill ,0
 a man in lagos expressed his feeling concerning s court judgement of imo state governorship election,0
 short on time no problem hit the entire body with this program ,0
